Source,Target,Id,duplicate,UMich,ASU,IUB,IUPUI,Dist2Air,MASS,Seats0Stop,Seats1Stop,Seats2Stop,Seats3Stop,Lines0Stop,Lines1Stop,Lines2Stop,Lines3Stop,GeoDist,CollabPaper
"n0","n1","e5175",1,1,,,,8.12362914876855,23921.0,0.0,1063.3813207562625,5345.022704170395,159245.68274337173,0.0,5.477225575051661,28.464616269051383,185.1520793896241,4654.444716434155,56.0
"n0","n2","e237",1,1,1,,,4.318702339924671,23331.0,656.3333333333334,4276.3233450215175,12503.79321440527,421783.2883723106,4.0,27.194827009486403,77.61121644705615,390.36041712930154,1645.505225840694,276.0
"n0","n3","e231",1,1,,,,31.186775109620324,105411.0,416.0,4565.530344910534,14210.813939919355,753177.1035323524,1.0,16.684387141358123,56.544523666564444,360.25431016633104,6592.943827856395,561.0
"n0","n4","e776",1,1,,1,,40.14508691100877,12521.0,131.33333333333334,2431.253906237247,8187.683263381071,234287.4292589757,1.0,18.146428199482248,57.01735807805575,288.03259019825236,259.9816192065517,186.0
"n0","n5","e2",1,1,,,,11.136290379784041,17553.0,0.0,735.2448571734453,3798.419386950057,125878.84133228008,0.0,3.872983346207417,20.697004162250483,145.49348171116418,4576.999355728011,45.0
"n0","n6","e176",1,1,,,,4.595854898173293,45976.0,560.4166666666667,3992.4917040893633,12652.830291883161,489061.264076475,2.0,18.431676725154983,60.321600120765254,355.3890335627705,3943.6513552012834,268.0
"n0","n7","e137",1,1,,,,10.167261906393776,34364.0,148.0,2931.0765436433435,9548.972490968381,275987.56802410324,1.0,20.157244060668017,62.13417772908454,312.95285271315674,506.0066131825028,1383.0
"n0","n8","e1368",1,1,,,1,8.402294581177816,22266.0,131.33333333333334,2431.253906237247,8187.683263381071,234287.4292589757,1.0,18.146428199482248,57.01735807805575,288.03259019825236,214.14243990972733,374.0
"n0","n9","e5",1,1,,,,5.935679762689232,9347.0,120.0,1314.8303226818443,5071.69626125676,155319.8555305017,1.0,10.38083151964686,36.52305019988772,200.46814191088458,590.7487194626608,77.0
"n0","n10","e298",1,1,,,,8.889912283967284,71624.0,0.0,3766.6660176990595,12341.051519927561,513838.9878912277,0.0,18.547236990991408,61.372378710372004,359.1542176589276,3989.931594264339,302.0
