id, name, Metro_name, latitude, longitude, mergeList, totalDegree
6429,"Shanhaiguan Airport","Qinhuangdao",39.9681,119.731,6429|,1772.0
1848,"General Francisco Javier Mina Intl","Tampico",22.29645,-97.865931,1848|,1772.0
1855,"General Leobardo C Ruiz Intl","Zacatecas",22.897112,-102.68689,1855|,1768.0
3398,"Hotan","Hotan",37.038522,79.864933,3398|,1764.0
1838,"Queretaro Intercontinental","Queretaro",20.617289,-100.185658,1838|,1764.0
6485,"Navoi Airport","Navoi",40.1172,65.1708,6485|,1762.0
4214,"Palmas","Palmas",-10.241667,-48.35278,4214|,1762.0
6510,"Zweibruecken","DEB3K",49.209445,7.401323,6510|393|,1760.0
1106,"Sao Pedro","Sao Vicente Island",16.833689,-25.054661,1106|,1760.0
6349,"Ulanhot Airport","Ulanhot",46.083,122.017,6349|,1760.0
6143,"Nadym Airport","Nadym",65.4809,72.6989,6143|,1756.0
1455,"Kefallinia","EL623",38.120069,20.500481,1455|,1754.0
6382,"Quzhou Airport","Quzhou",28.9658,118.899,6382|,1752.0
3287,"Sultan Thaha","Jambi",-1.638017,103.644378,3287|,1748.0
985,"Pemba","Pemba",-12.986753,40.522492,985|1184|,1748.0
906,"Livingstone","Livingstone",-17.821756,25.822692,906|8132|,1746.0
2801,"Coronel Francisco Secada Vignetta Intl","Iquitos",-3.784739,-73.308806,2801|,1741.0
4145,"Dongying Airport","Dongying",37.2716,118.2819,4145|,1740.0
2595,"Ministro Victor Konder Intl","Navegantes",-26.879999,-48.65139,2595|,1736.0
3910,"Iskandar","Pangkalan Bun",-2.705197,111.673208,3910|,1728.0
119,"Comox","Comox",49.710833,-124.886667,119|,1720.0
209,"Soummam","Bejaja",36.711997,5.069922,209|,1710.0
3055,"Silchar","Silchar",24.912928,92.978742,3055|,1702.6666259766
6011,"General Santos International Airport","General Santos City",6.106439,125.2353,6011|,1688.0
3260,"Rendani","Manokwari",-0.891833,134.049183,3260|,1688.0
8858,"Sannvhe","Tangshan",39.717444,118.002389,8858|,1688.0
2423,"Bacolod","Bacolod",10.642511,122.929617,2423|,1684.0
6427,"Anqing Airport","Anqing",30.5822,117.0502,6427|,1680.0
5691,"Asyut International Airport","Asyut",27.046508,31.011983,5691|,1680.0
6111,"Cherepovets Airport","Cherepovets",59.2736,38.0158,6111|,1680.0
50,"Arviat","Eskimo Point",61.094166,-94.070833,50|,1680.0
880,"Maun","Maun",-19.972564,23.431086,880|,1680.0
8266,"Gazipasa Airport","TR611",36.2993,32.3014,8266|,1680.0
529,"Kirkwall","UKM65",58.957778,-2.905,529|5566|5567|5569|5568|5571|5564|,1680.0
2619,"Sao Jose Do Rio Preto","Sao Jose Do Rio Preto",-20.816567,-49.406511,2619|,1668.0
192,"Mont Joli","Mont Joli",48.608612,-68.208056,192|,1666.6666641235
2497,"Ushuaia Malvinas Argentinas","Ushuaia",-54.843278,-68.29575,2497|,1660.0
2930,"Sokol","Magadan",59.910989,150.720439,2930|,1658.0
230,"Zenata","Tlemcen",35.016667,-1.45,230|,1658.0
3284,"Supadio","Pontianak",-0.150711,109.403892,3284|,1656.6666259766
2768,"Capitan Oriel Lea Plaza","Tarija",-21.555736,-64.701325,2768|,1648.0
1462,"Megas Alexandros Intl","EL515",40.913306,24.619223,1462|1457|,1642.0
4153,"Dalat","Dalat",11.75,108.367,4153|,1640.0
2792,"Juliaca","Juliaca",-15.467103,-70.158169,2792|,1638.0
6401,"Nanchong Airport","Nanchong",30.754,106.062,6401|,1632.0
2973,"Bolshoye Savino","Perm",57.914517,56.021214,2973|9319|,1632.0
6223,"Radin Inten II (Branti) Airport","Bandar Lampung-Sumatra Island",-5.242339,105.178939,6223|,1628.0
1004,"Victoria Falls Intl","Victoria Falls",-18.095881,25.839006,1004|7699|,1620.0
3097,"Jodhpur","Jodhpur",26.251092,73.048869,3097|,1616.0
2949,"Murmansk","Murmansk",68.781672,32.750822,2949|,1612.0
2404,"Zamboanga Intl","Zamboanga",6.922419,122.059633,2404|,1606.0
6367,"Yan'an Airport","Yan'an",36.6369,109.554,6367|,1602.0
2884,"Henry E Rohlsen",2378248,17.701889,-64.798556,2884|7310|,1600.0
8417,"Jixi Airport","Jixi",45.30611,130.99667,8417|,1600.0
2048,"Herat","Herat",34.210017,62.2283,2048|,1594.0
5934,"Lar Airport","Lar",27.674725,54.383278,5934|,1590.0
2572,"Prefeito Renato Moreira","Imperatriz",-5.531292,-47.46005,2572|,1580.0
6753,"Mardin Airport","TRC31",37.2233,40.6317,6753|,1580.0
6404,"Aksu Airport","Aksu",41.2625,80.2917,6404|,1566.0
2114,"Shahid Ashrafi Esfahani","Bakhtaran",34.345853,47.158128,2114|,1564.0
6381,"Jiujiang Lushan Airport","Jiujiang",29.733,115.983,6381|,1564.0
1534,"Levaldigi","ITC16",44.547019,7.623217,1534|,1560.0
4001,"Bagan Intl","Nyuang U",21.173833,94.924667,4001|,1560.0
4168,"Duong Dong Airport","Phu Quoc",10.227025,103.967169,4168|,1560.0
