id,name,city,country,IATA_FFA,CIAO,Latitude,longitude,totalDegre,ID_metro,affil_ID,Lat_met,Lon_met
3941,Eleftherios Venizelos Intl,Athens,Greece,ATH,LGAV,37.936358,23.944467,59931.666901,EL305,"Biomed Sci Res Ctr Alexander Fleming, Inst Mol Oncol, Vari 16672, Greece,37.8354988098,23.8183994293,VÄ‚Ë‡ri Attica Greece,11,2899|3008|3070|3686|4506,3|3|3|1|1|,VÄ‚Ë‡ri Attica Greece|PikÄ‚_rmion Attica Greece|Anavissos  Greece|Anavyssos",37.835499,23.818399
1454,Kithira,Kithira,Greece,KIT,LGKC,36.274258,23.016978,976,EL307,"Natl Observ Athens, I Metaxa 11532, Greece,37.9297485352,23.6433391571,I Metaxa  Greece,2,5540|6326,1|1|,I Metaxa  Greece|Piraeus  Greece|",37.929749,23.643339
1469,Mitilini,Mytilini,Greece,MJT,LGMT,39.056667,26.598333,3936,EL411,"Univ Aegean, Dept Geog, Mitilini, Greece,39.1101989746,26.5547008514,Mitilini  Greece,2,4095,2|,Mitilini  Greece|",39.110199,26.554701
1450,Chios,Chios,Greece,JKH,LGHI,38.343175,26.140572,1464,EL413,"Univ Aegean, Dept Financial & Management Engn, Chios, Greece,38.3744010925,26.1331005096,KhÄ‚Â­os Northern Aegean Greece,0,4281,0|,KhÄ‚Â­os Northern Aegean Greece|",38.374401,26.133101
1452,Nikos Kazantzakis,Heraklion,Greece,HER,LGIR,35.339719,25.180297,34397.666748,EL431,"Fdn Res & Technol Hellas, IESL, GR-71110 Iraklion, Greece,35.3292999268,25.1240997314,Heraklion Crete Greece,22,1143|2136|6172,16|5|1|,Heraklion Crete Greece|Heraklion Crete Greece|VoÄ‚Ĺźtai Crete Greece|",35.3293,25.1241
1474,Souda,Chania,Greece,CHQ,LGSA,35.531747,24.149678,14126,EL434,"Technol Educ Inst Crete, Ctr Plasma Phys & Lasers, Dept Elect, Khania, Crete, Greece,35.5041007996,24.0172996521,Khania Crete Greece,10,2092|2463,7|3|,Khania Crete Greece|KhaniÄ‚Ë‡ Crete Greece|",35.504101,24.0173
1446,Dimokritos,Alexandroupolis,Greece,AXD,LGAL,40.855869,25.956264,866.666687,EL511,"Democritus Univ Thrace, Dept Internal Med 1, Alexandroupolis, Greece,40.8470993042,25.8806991577,AlexandroÄ‚Ĺźpolis Eastern Macedonia and Thrace Greece,0,6618,0|,AlexandroÄ‚Ĺźpolis Eastern Macedonia and Thrace Greece|",40.847099,25.880699
1486,Makedonia,Thessaloniki,Greece,SKG,LGTS,40.519725,22.97095,25854.666718,EL522,"Aristotle Univ Thessaloniki, Dept Phys, GR-54006 Thessaloniki, Greece,40.648399353,22.935300827,Salonica Central Macedonia Greece,68,488|4433,68|0|,Salonica Central Macedonia Greece|Tessalonica  Greece|",40.648399,22.935301
1451,Ioannina,Ioannina,Greece,IOA,LGIO,39.696388,20.8225,480,EL543,"Fdn Res & Technol Hellas, Biomed Res Inst, Ioannina, Greece,39.6473007202,20.8414001465,Ioannina Epirus Greece,11,1182,11|,Ioannina Epirus Greece|",39.647301,20.8414
1448,Nea Anchialos,Nea Anghialos,Greece,VOL,LGBL,39.219619,22.794339,2040,EL613,"Univ Thessaly, Dept Econ, Volos 38333, Greece,39.3639984131,22.9291000366,Volos  Greece,5,2840|6385,4|1|,Volos  Greece|Volos Volos Greece|",39.363998,22.9291
