"Source","Target","Id","duplicate","UMich","ASU","IUB","IUPUI"
"n0","n190","e746",1,1,,,
"n0","n191","e748",1,1,,,
"n0","n192","e749",3,1,,,
"n0","n193","e758",1,1,,,
"n0","n194","e792",1,1,,,
"n0","n195","e55183",1,1,,,
"n0","n196","e13967",1,1,,,
"n0","n197","e7865",1,1,,,
"n0","n198","e803",1,1,,,
"n0","n199","e810",1,1,,,
"n0","n200","e815",1,1,,,
"n0","n201","e817",1,1,,,
"n0","n202","e15460",1,1,,,
"n0","n203","e6252",1,1,,,
"n0","n204","e3812",1,1,,,
"n0","n206","e845",1,1,,,
"n0","n207","e851",1,1,,,
"n0","n208","e1854",1,1,,,
"n0","n209","e862",1,1,,,
"n0","n210","e870",1,1,,,
"n0","n211","e871",1,1,,,
"n0","n212","e872",1,1,,,
"n0","n213","e895",1,1,,,
"n0","n214","e1595",1,1,,,
"n0","n215","e1626",1,1,,,
"n0","n216","e899",1,1,,,
"n0","n217","e902",1,1,,,
"n0","n218","e906",2,1,,,
"n0","n219","e19815",1,1,,,
"n0","n220","e35250",1,1,,,
"n0","n221","e933",1,1,,,
"n0","n222","e961",1,1,,,
"n0","n223","e957",1,1,,,
"n0","n224","e965",1,1,,,
"n0","n225","e4247",1,1,,,
"n0","n226","e975",1,1,,,
"n0","n227","e979",2,1,,,
"n0","n228","e983",1,1,,,
"n0","n230","e6282",1,1,,,
"n0","n231","e2899",1,1,,,
"n0","n232","e1011",1,1,,,
"n0","n233","e1014",1,1,,,
"n0","n234","e1017",1,1,,,
"n0","n235","e2291",1,1,,,
"n0","n236","e24345",1,1,,,
"n0","n237","e1536",1,1,,,
"n0","n238","e1028",1,1,,,
"n0","n239","e4200",1,1,,,
"n0","n240","e1037",1,1,,,
"n0","n241","e1832",1,1,,,
"n0","n242","e1043",1,1,,,
"n0","n243","e1047",1,1,,,
"n0","n244","e1051",1,1,,,
"n0","n245","e1055",1,1,,,
"n0","n246","e2603",1,1,,,
"n0","n247","e5651",1,1,,,
"n0","n248","e1064",1,1,,,
"n0","n249","e8976",1,1,,,
"n0","n251","e4657",1,1,,,
"n0","n252","e36000",1,1,,,
"n0","n253","e3490",1,1,,,
"n0","n254","e1081",1,1,,,
"n0","n255","e1088",1,1,,,
"n0","n257","e1091",1,1,,,
"n0","n258","e1097",1,1,,,
"n0","n259","e1204",1,1,,,
"n0","n260","e1173",1,1,,,
"n0","n261","e1121",1,1,,,
"n0","n262","e1137",1,1,,,
"n0","n263","e3236",1,1,,,
"n0","n264","e2468",1,1,,,
"n0","n265","e24849",1,1,,,
"n0","n266","e2453",1,1,,,
"n0","n268","e16417",1,1,,,
"n0","n269","e1334",1,1,,,
"n0","n270","e22929",2,1,,,
"n0","n272","e1346",1,1,,,
"n0","n273","e1347",1,1,,,
"n0","n274","e1348",1,1,,,
"n0","n275","e1349",1,1,,,
"n0","n276","e8517",1,1,,,
"n0","n277","e1658",1,1,,,
"n0","n278","e4582",1,1,,,
"n0","n279","e1362",1,1,,,
"n0","n280","e1535",1,1,,,
"n0","n281","e1436",1,1,,,
"n0","n282","e1483",1,1,,,
"n0","n283","e1537",2,1,,,
"n0","n284","e1538",1,1,,,
"n0","n285","e1418",1,1,,,
"n0","n286","e4310",1,1,,,
"n0","n287","e1588",1,1,,,
"n0","n288","e1591",1,1,,,
"n0","n289","e5218",1,1,,,
"n0","n290","e4987",1,1,,,
"n0","n291","e1598",1,1,,,
"n0","n292","e6503",1,1,,,
"n0","n293","e1604",1,1,,,
"n0","n294","e12449",1,1,,,
"n0","n295","e1627",1,1,,,
"n0","n296","e1629",1,1,,,
"n0","n297","e9949",1,1,,,
"n0","n298","e1651",1,1,,,
"n0","n299","e1654",1,1,,,
"n0","n300","e1660",1,1,,,
"n0","n301","e1678",1,1,,,
"n0","n302","e1677",1,1,,,
"n0","n303","e1687",1,1,,,
"n0","n304","e1688",1,1,,,
"n0","n306","e8181",1,1,,,
"n0","n307","e1696",1,1,,,
"n0","n308","e1697",1,1,,,
"n0","n309","e5595",2,1,,,
"n0","n310","e7124",1,1,,,
"n0","n311","e1713",1,1,,,
"n0","n312","e1720",1,1,,,
"n0","n313","e8983",1,1,,,
"n0","n314","e1727",1,1,,,
"n0","n315","e1732",1,1,,,
"n0","n316","e1735",1,1,,,
"n0","n317","e4191",1,1,,,
"n0","n318","e14255",1,1,,,
"n0","n319","e41520",1,1,,,
"n0","n321","e1753",1,1,,,
"n0","n322","e1755",1,1,,,
"n0","n323","e1757",1,1,,,
"n0","n324","e1761",1,1,,,
"n0","n325","e1808",1,1,,,
"n0","n326","e1779",1,1,,,
"n0","n327","e1786",1,1,,,
"n0","n328","e15009",1,1,,,
"n0","n329","e1819",1,1,,,
"n0","n330","e1835",1,1,,,
"n0","n331","e1837",1,1,,,
"n0","n332","e1842",1,1,,,
"n0","n333","e39491",1,1,,,
"n0","n334","e1846",1,1,,,
"n0","n336","e6998",1,1,,,
"n0","n337","e6974",1,1,,,
"n0","n338","e38657",1,1,,,
"n0","n340","e2002",1,1,,,
"n0","n341","e2006",1,1,,,
"n0","n342","e2007",1,1,,,
"n0","n343","e2020",1,1,,,
"n0","n344","e4699",1,1,,,
"n0","n345","e2028",1,1,,,
"n0","n346","e2030",1,1,,,
"n0","n347","e2034",1,1,,,
"n0","n348","e5870",1,1,,,
"n0","n349","e2049",1,1,,,
"n0","n350","e2077",1,1,,,
"n0","n351","e2078",1,1,,,
"n0","n352","e2079",1,1,,,
"n0","n353","e2069",1,1,,,
"n0","n354","e40320",1,1,,,
"n0","n355","e25527",1,1,,,
"n0","n357","e4171",1,1,,,
"n0","n358","e2142",1,1,,,
"n0","n359","e2121",1,1,,,
"n0","n360","e2124",1,1,,,
"n0","n361","e3567",1,1,,,
"n0","n362","e2133",1,1,,,
"n0","n363","e2134",1,1,,,
"n0","n364","e2135",1,1,,,
"n0","n365","e2144",1,1,,,
"n0","n366","e2152",5,1,,,
"n0","n367","e2732",1,1,,,
"n0","n368","e8230",1,1,,,
"n0","n369","e2179",1,1,,,
"n0","n370","e2182",1,1,,,
"n0","n371","e2186",1,1,,,
"n0","n372","e2222",1,1,,,
"n0","n373","e2223",1,1,,,
"n0","n374","e4726",1,1,,,
"n0","n375","e17667",1,1,,,
"n0","n376","e22437",1,1,,,
"n0","n377","e20858",1,1,,,
"n0","n378","e2456",1,1,,,
"n0","n379","e2467",1,1,,,
"n0","n380","e2992",1,1,,,
"n0","n381","e5134",1,1,,,
"n0","n382","e2523",1,1,,,
"n0","n383","e2532",1,1,,,
"n0","n384","e21303",1,1,,,
"n0","n385","e2581",1,1,,,
"n0","n386","e2594",1,1,,,
"n0","n387","e2588",1,1,,,
"n0","n388","e3921",1,1,,,
"n0","n389","e14385",1,1,,,
"n0","n390","e2615",1,1,,,
"n0","n391","e2616",3,1,,,
"n0","n392","e7085",2,1,,,
"n0","n393","e15348",1,1,,,
"n0","n394","e2623",1,1,,,
"n0","n395","e2637",1,1,,,
"n0","n396","e5864",1,1,,,
"n0","n397","e2646",3,1,,,
"n0","n398","e2649",1,1,,,
"n0","n399","e2651",2,1,,,
"n0","n400","e2654",1,1,,,
"n0","n401","e2661",1,1,,,
"n0","n402","e2845",1,1,,,
"n0","n403","e2684",1,1,,,
"n0","n404","e2701",1,1,,,
"n0","n405","e2703",1,1,,,
"n0","n406","e15541",1,1,,,
"n0","n407","e25691",1,1,,,
"n0","n408","e34436",1,1,,,
"n0","n409","e36942",1,1,,,
"n0","n410","e5204",1,1,,,
"n0","n411","e16854",1,1,,,
"n0","n412","e16118",1,1,,,
"n0","n413","e2857",1,1,,,
"n0","n414","e2858",3,1,,,
"n0","n415","e2870",2,1,,,
"n0","n416","e4236",1,1,,,
"n0","n417","e2890",1,1,,,
"n0","n418","e2908",1,1,,,
"n0","n419","e12164",1,1,,,
"n0","n420","e2912",1,1,,,
"n0","n421","e2971",1,1,,,
"n0","n422","e2972",1,1,,,
"n0","n423","e2970",1,1,,,
"n0","n424","e2951",1,1,,,
"n0","n425","e2975",3,1,,,
"n0","n426","e9898",1,1,,,
"n0","n427","e2991",1,1,,,
"n0","n428","e2997",1,1,,,
"n0","n429","e8210",1,1,,,
"n0","n430","e3012",1,1,,,
"n0","n431","e3013",1,1,,,
"n0","n432","e3035",1,1,,,
"n0","n433","e3038",1,1,,,
"n0","n434","e3039",2,1,,,
"n0","n435","e6276",1,1,,,
"n0","n437","e22191",1,1,,,
"n0","n438","e8704",1,1,,,
"n0","n439","e25718",3,1,,,
"n0","n440","e46523",1,1,,,
"n0","n442","e40343",1,1,,,
"n0","n443","e3192",1,1,,,
"n0","n444","e12563",1,1,,,
"n0","n446","e51123",1,1,,,
"n0","n447","e3309",1,1,,,
"n0","n448","e20190",1,1,,,
"n0","n449","e3398",1,1,,,
"n0","n450","e47642",1,1,,,
"n0","n452","e3237",1,1,,,
"n0","n453","e8320",1,1,,,
"n0","n454","e3251",1,1,,,
