Source,Target,Id,duplicate,UMich,ASU,IUB,IUPUI,Dist2Air,MASS,Seats0Stop,Seats1Stop,Seats2Stop,Seats3Stop,Lines0Stop,Lines1Stop,Lines2Stop,Lines3Stop
"n0","n1","e5175",1,1,,,,8.12362914876855,23921.0,0.0,1063.3813207562625,5345.022704170395,159245.68274337173,0.0,5.477225575051661,28.464616269051383,185.1520793896241
"n0","n2","e237",1,1,1,,,4.318702339924671,23331.0,656.3333333333334,4276.3233450215175,12503.79321440527,421783.2883723106,4.0,27.194827009486403,77.61121644705615,390.36041712930154
"n0","n3","e231",1,1,,,,31.186775109620324,105411.0,416.0,4565.530344910534,14210.813939919355,753177.1035323524,1.0,16.684387141358123,56.544523666564444,360.25431016633104
"n0","n4","e776",1,1,,1,,40.14508691100877,12521.0,131.33333333333334,2431.253906237247,8187.683263381071,234287.4292589757,1.0,18.146428199482248,57.01735807805575,288.03259019825236
"n0","n5","e2",1,1,,,,11.136290379784041,17553.0,0.0,735.2448571734453,3798.419386950057,125878.84133228008,0.0,3.872983346207417,20.697004162250483,145.49348171116418
"n0","n6","e176",1,1,,,,4.595854898173293,45976.0,560.4166666666667,3992.4917040893633,12652.830291883161,489061.264076475,2.0,18.431676725154983,60.321600120765254,355.3890335627705
"n0","n7","e137",1,1,,,,10.167261906393776,34364.0,148.0,2931.0765436433435,9548.972490968381,275987.56802410324,1.0,20.157244060668017,62.13417772908454,312.95285271315674
"n0","n8","e1368",1,1,,,1,8.402294581177816,22266.0,131.33333333333334,2431.253906237247,8187.683263381071,234287.4292589757,1.0,18.146428199482248,57.01735807805575,288.03259019825236
"n0","n9","e5",1,1,,,,5.935679762689232,9347.0,120.0,1314.8303226818443,5071.69626125676,155319.8555305017,1.0,10.38083151964686,36.52305019988772,200.46814191088458
"n0","n10","e298",1,1,,,,8.889912283967284,71624.0,0.0,3766.6660176990595,12341.051519927561,513838.9878912277,0.0,18.547236990991408,61.372378710372004,359.1542176589276
"n0","n11","e7",1,1,,,,34.02049905624462,15438.0,120.0,1641.8380334319418,5987.398115943946,177667.60280389423,1.0,12.704699910719626,42.4830665649157,226.23807901710268
"n0","n12","e8",1,1,,,,5.196791749232078,57997.0,0.0,1876.7013614318075,8545.746925687625,374163.9621807689,0.0,6.708203932499369,32.04705699260225,215.61307671757532
"n0","n13","e9",1,1,,,,6.963075536652132,91163.0,545.0,4405.207189202599,12636.725399425035,418708.68523113645,4.0,29.238858928247925,79.7950490386711,396.99802809940473
"n0","n14","e10",1,1,,,,5.115041473563197,11060.0,0.0,1097.160377722621,4526.214337700387,149599.47797834655,0.0,8.246211251235321,32.340745803832334,184.99385447876884
"n0","n15","e1205",1,1,,,,6.592484912307649,12232.0,0.0,838.7088290938638,3752.8118727720325,128441.38740461726,0.0,6.4031242374328485,26.847350981946605,160.7903972610211
"n0","n16","e2131",1,1,,,,15.163535219163911,11039.0,131.33333333333334,2419.3814546707226,8140.51137942517,235048.32608229533,1.0,17.703293088490067,56.124732938679514,284.7252101970017
"n0","n17","e2137",1,1,,,,6.331103609039423,24367.0,282.0,2731.974384786729,8891.158960455989,247074.83372788935,2.0,20.303005217723125,61.164325288316526,300.7690418927321
